variant_id,method,outcome_correct,safe_false_alarms,block_recall,R2_R3_correct,FD_agreement,binary_output_mode,severity_output_mode,FD_output_mode,frozen_aggregate_R2_R3,frozen_aggregate_R2_R3_status,binary_algebra_pass
B0_RAW_STRUCTURAL_EQUALITY,Raw equality,59/354,295/295,59/59,N/A,N/A,ALWAYS_BLOCK_EXPLICIT,UNDEFINED,UNDEFINED_EXPLICIT_NA,,NOT_RECORDED,YES
B1_STRICT_SCHEMA_VALIDATION,Strict schema,295/354,0/295,0/59,N/A,N/A,NEVER_BLOCK_EXPLICIT,UNDEFINED,UNDEFINED_EXPLICIT_NA,,NOT_RECORDED,YES
B2_GENERIC_NORMALIZATION,Generic normalization,295/354,0/295,0/59,N/A,N/A,NEVER_BLOCK_EXPLICIT,UNDEFINED,UNDEFINED_EXPLICIT_NA,,NOT_RECORDED,YES
B3_FULL_PARITYMEM,Full ParityMem,354/354,0/295,59/59,59/59,354/354,SEALED_CELLWISE,SEALED_CELLWISE,SEALED_CELLWISE,59/59,CELLWISE_REPRODUCED,YES
A0_NO_PAIRING_SEMANTICS,No pairing semantics,59/354,295/295,59/59,N/A,N/A,ALWAYS_BLOCK_ALGEBRAICALLY_IDENTIFIED,AGGREGATE_ONLY_NO_LABEL_OUTPUT,UNDEFINED,59/59,AGGREGATE_ONLY_NO_CELLWISE_LABEL_OUTPUT,YES
A1_NO_HISTORY_CLOSURE,No history closure,295/354,0/295,0/59,N/A,N/A,NEVER_BLOCK_ALGEBRAICALLY_IDENTIFIED,AGGREGATE_ONLY_NO_LABEL_OUTPUT,UNDEFINED,0/59,AGGREGATE_ONLY_NO_CELLWISE_LABEL_OUTPUT,YES
A2_P0_P1_ONLY,P0/P1 only,295/354,0/295,0/59,N/A,N/A,NEVER_BLOCK_ALGEBRAICALLY_IDENTIFIED,AGGREGATE_ONLY_NO_LABEL_OUTPUT,UNDEFINED,0/59,AGGREGATE_ONLY_NO_CELLWISE_LABEL_OUTPUT,YES
